dataset,model,nll_mean,nll_std,kl_divergence_mean,kl_divergence_std,full_wasserstein_mean,full_wasserstein_std,gaussian_mmd_unbiased_mean,gaussian_mmd_unbiased_std,gaussian_mmd_biased_mean,gaussian_mmd_biased_std,n_iterations
banana,NICE,3.230954170227051,0.0,0.02675733673738399,0.00775490358469909,0.20047094806455149,0.02145359471925375,0.011896476522088051,0.012040243133797505,0.030404472537338734,0.006453741709730691,10
banana,RESFLOW,3.4557158946990967,0.0,0.2863385409698933,0.013472483961247636,0.7963058189266652,0.030108593831677778,0.1780741810798645,0.006727992210604177,0.1803036004304886,0.0066456992768416535,10
x_shape,NICE,3.534719467163086,0.0,0.2952953449126157,0.027921690647352074,0.5786099269302178,0.013126592051250587,0.1142684705555439,0.00693136164311098,0.11764324903488159,0.006738271660259548,10
x_shape,RESFLOW,3.5576047897338867,0.0,0.31801892529409137,0.01425378146214689,0.6950693514263961,0.01826984398843432,0.1762869343161583,0.004834858080804181,0.17853350788354874,0.0047750234752330905,10
bimodal_shared,NICE,3.0034286975860596,0.0,0.048861616743744625,0.004197958066576136,0.21644503191922587,0.010019707136099265,0.03564462102949619,0.004858287820093647,0.044962440803647044,0.0038440890221800098,10
bimodal_shared,RESFLOW,3.2621724605560303,0.0,0.26764117974370893,0.010571072482518656,0.6252875848802654,0.016328283633163816,0.18795691579580306,0.003974140270170885,0.19000014513731003,0.003930178585884284,10
two_moons,NICE,1.218921184539795,0.0,0.05345594543706213,0.0056950723978064,0.21354559672576082,0.022980693588839536,0.0675862405449152,0.007085493541503175,0.07124848179519176,0.006691244740882212,10
two_moons,RESFLOW,2.6786248683929443,0.0,1.030402169555972,0.030110429736995917,1.0756355989258468,0.02173373667304669,0.3508827954530716,0.008476193222275467,0.35178000330924986,0.008456166183734173,10
rings,NICE,3.4327409267425537,0.0,0.1541845548993795,0.008862139577588905,0.4654930146000441,0.010263011163292,0.04583174325525761,0.007355753876981543,0.05391259901225567,0.0061732436063360535,10
rings,RESFLOW,3.4184348583221436,0.0,0.16720543782965383,0.006748657070605058,0.5175847940635258,0.016229094275192632,0.03841136284172535,0.00436046018088909,0.047842613235116,0.0035441710486814925,10
multimodal-5,NICE,3.293259859085083,0.0,0.04565286759040091,0.005914913778960125,0.2637431823488676,0.014715653597602046,0.036253930255770686,0.005383158552420833,0.04575018174946308,0.004300926063251783,10
multimodal-5,RESFLOW,3.4625461101531982,0.0,0.2252066679981422,0.013284103843224029,0.7597879710622766,0.031172970972499655,0.15609065890312196,0.007844807852636105,0.15865266025066377,0.00772123545691991,10
BLR,NICE,-3.432940721511841,0.0,0.0573982538282612,0.010065282174579263,0.013092993118479227,0.0010873620066295287,0.011366192530840636,0.0011260449558346338,0.011529603973031044,0.0011091336737271689,10
BLR,RESFLOW,2.090805768966675,0.0,5.340159491006761,0.42178063557186324,1.5590161956492534,0.012795154155113252,0.6468148052692413,0.004662643990275644,0.6470909297466279,0.004661515685159439,10
BPR,NICE,-4.4701409339904785,0.0,0.03757315201859283,0.005247469197832088,0.004568597836503788,0.0002687590271166334,0.00209288380574435,0.0005704205595140243,0.0024041158030740917,0.0004904132460390977,10
BPR,RESFLOW,2.0770020484924316,0.0,4.427997337488035,2.398219017769436,1.558750597394843,0.016130185973551415,0.6380508244037628,0.005036208038189258,0.638331162929535,0.0050350519030426255,10
Weibull,NICE,-6.489624977111816,0.0,0.03505042523858026,0.004234807044276265,0.0019899854100134066,9.015264683067923e-05,0.0013565471861511468,9.143104038492738e-05,0.001412940735463053,8.37625313384588e-05,10
Weibull,RESFLOW,2.397061586380005,0.0,16.20137245836463,43.924134233735444,1.9674524232446902,0.020515663409256733,0.7408450901508331,0.00823304528116132,0.7410985410213471,0.008230782978396124,10
Real-GMM2,NICE,-1.6143243312835693,0.0,0.026650524188200752,0.005204784351394904,0.019243615842490694,0.0021441406932598663,0.0006083849701099097,0.0015135452730726743,0.005106313643045724,0.0016706446009552122,10
Real-GMM2,RESFLOW,2.038355588912964,0.0,3.5843095649191667,0.07039310418665098,1.3507999832624076,0.03083547116567765,0.5860183835029602,0.009274769715229609,0.5863392293453217,0.009273176913338534,10
