dataset,model,nll_mean,nll_std,kl_divergence_mean,kl_divergence_std,full_wasserstein_mean,full_wasserstein_std,gaussian_mmd_unbiased_mean,gaussian_mmd_unbiased_std,gaussian_mmd_biased_mean,gaussian_mmd_biased_std,n_components,mixture_weights,n_iterations
banana,EM_MIXTURE,3.3844988346099854,0.0,0.8313441218520875,0.05896188580567522,2.178743740356818,0.5128354474780523,0.1612173229455948,0.0051493104366045084,0.16347162872552873,0.005076754751322835,5,"0.0050, 0.5357, 0.0050, 0.4472, 0.0072",10
x_shape,EM_MIXTURE,3.323775291442871,0.0,0.6567475681552536,0.04223124057260933,1.934828902814294,0.48130108420862167,0.18065484762191772,0.007082661827461941,0.1828168213367462,0.0070037168477846065,5,"0.5114, 0.4592, 0.0195, 0.0050, 0.0050",10
bimodal_shared,EM_MIXTURE,3.5036613941192627,0.0,0.8440633789602717,0.048279812528493865,1.4738013125690665,0.15787050962115054,0.29509918093681337,0.005194009313536389,0.29636398553848264,0.005172340475569253,5,"0.5641, 0.0232, 0.0666, 0.0050, 0.3411",10
two_moons,EM_MIXTURE,1.4286549091339111,0.0,0.7822374117270623,0.012956028051618836,24.277955574880753,0.8707542999166807,0.6596864759922028,0.0032122171625274076,0.6602404892444611,0.003209697641019236,5,"0.0050, 0.2324, 0.0050, 0.4786, 0.2791",10
rings,EM_MIXTURE,2.545086622238159,0.0,2.1451056611536186,0.22528307410050394,17.568950384056198,0.32744786199924003,0.40471901893615725,0.004037939015811641,0.4058155745267868,0.004027211355895122,5,"0.0115, 0.1616, 0.2500, 0.1969, 0.3801",10
multimodal-5,EM_MIXTURE,3.440052032470703,0.0,1.114645544208435,0.0654828143260413,2.416754893702044,0.3543293434374785,0.2331969454884529,0.0070027897867195,0.2349148452281952,0.006952638687447473,5,"0.5392, 0.0050, 0.1384, 0.1670, 0.1504",10
BLR,EM_MIXTURE,-0.7075154781341553,0.0,-2.29228313431538e-06,6.018775218048447e-08,54.80598166579286,1.0179681288472342,0.9929257273674011,0.003039365612598873,0.9931713819503785,0.0030383012127419527,5,"0.9077, 0.0068, 0.0718, 0.0066, 0.0071",10
BPR,EM_MIXTURE,-1.2224090099334717,0.0,-2.4527592358752176e-06,4.7296183313196524e-08,42.047747946479284,0.445509155126265,0.9864028215408325,0.0018966545139491434,0.9866537511348724,0.0018961912060011083,5,"0.9107, 0.0123, 0.0179, 0.0050, 0.0541",10
Weibull,EM_MIXTURE,-1.824622392654419,0.0,-2.610183397142182e-06,7.001499680308388e-08,64.7792871926363,0.8095129039742983,1.0001340925693512,0.0011566536453371308,1.0003801047801972,0.0011562633542604452,5,"0.0105, 0.0050, 0.0449, 0.0157, 0.9238",10
Real-GMM2,EM_MIXTURE,-0.2783607840538025,0.0,-2.3951993098830385e-06,7.324790020869459e-08,53.922595280736516,0.440649450547,0.9596599876880646,0.0032235191198579298,0.9599268794059753,0.003222585756223891,5,"0.3554, 0.6168, 0.0104, 0.0050, 0.0125",10
